"Wijken en buurten";"Gemeentenaam";"Soort regio";"Codering";"Indelingswijziging wijken en buurten";"Inwoners";"Inwoners 15 tot 25 jaar";"Inwoners Westers totaal";"Inwoners Nederlandse Antillen en Aruba";"Eenpersoonshuishoudens";"Bevolkingsdichtheid";"Woningvoorraad";"Percentage meergezinswoning";"Personenauto's; brandstof benzine";"Motorfietsen";"Oppervlakte";"Mate van stedelijkheid";"Omgevingsadressendichtheid"
"Eindhoven";"Eindhoven";"Gemeente";"GM0772";"NaN";"229126";"31821";"33209";"2772";"57152";"2614";"109468";"38";"82010";"6820";"8766";"1";"2605"
"Wijk 11 Stadsdeel Centrum";"Eindhoven";"Wijk";"WK077211";"1";"8975";"2165";"2220";"85";"4660";"3421";"5827";"93";"2200";"265";"262";"1";"3938"
"Binnenstad";"Eindhoven";"Buurt";"BU07721111";"1";"3595";"865";"765";"45";"1930";"5491";"2163";"91";"910";"85";"66";"1";"3862"
"Bergen";"Eindhoven";"Buurt";"BU07721112";"1";"2560";"505";"570";"15";"1215";"7452";"1595";"85";"760";"80";"34";"1";"4173"
"Witte Dame";"Eindhoven";"Buurt";"BU07721113";"1";"1860";"310";"535";"15";"735";"10132";"1468";"100";"460";"95";"18";"1";"4412"
"Fellenoord";"Eindhoven";"Buurt";"BU07721114";"1";"165";"50";"65";"0";"120";"751";"160";"100";"30";"0";"22";"1";"3958"
"TU-terrein";"Eindhoven";"Buurt";"BU07721115";"1";"790";"435";"275";"5";"660";"648";"441";"100";"40";"5";"122";"2";"2051"
"Wijk 12 Stadsdeel Stratum";"Eindhoven";"Wijk";"WK077212";"1";"33705";"4790";"4650";"345";"9045";"2956";"16224";"36";"11635";"950";"1140";"1";"2675"
"Irisbuurt";"Eindhoven";"Buurt";"BU07721211";"1";"2155";"310";"335";"15";"695";"4108";"1117";"46";"875";"80";"53";"1";"3272"
"Rochusbuurt";"Eindhoven";"Buurt";"BU07721212";"1";"1745";"440";"320";"15";"850";"11928";"945";"71";"440";"60";"15";"1";"3573"
"Elzent-Noord";"Eindhoven";"Buurt";"BU07721213";"1";"1015";"125";"165";"5";"275";"4896";"568";"71";"370";"20";"21";"1";"3585"
"Tuindorp";"Eindhoven";"Buurt";"BU07721214";"1";"2955";"460";"365";"20";"1005";"6553";"1420";"59";"855";"70";"45";"1";"3435"
"Joriskwartier";"Eindhoven";"Buurt";"BU07721215";"1";"1145";"215";"160";"10";"450";"7706";"574";"49";"395";"35";"15";"1";"3498"
"Bloemenplein";"Eindhoven";"Buurt";"BU07721216";"1";"1245";"185";"220";"15";"440";"9353";"630";"39";"385";"45";"13";"1";"3261"
"Looiakkers";"Eindhoven";"Buurt";"BU07721217";"1";"545";"130";"80";"5";"275";"2398";"334";"85";"165";"30";"23";"1";"3209"
"Elzent-Zuid";"Eindhoven";"Buurt";"BU07721218";"1";"280";"25";"30";"5";"25";"2118";"142";"49";"130";"5";"13";"1";"2905"
"Kerstroosplein";"Eindhoven";"Buurt";"BU07721221";"1";"1880";"310";"280";"15";"590";"9018";"896";"12";"620";"50";"21";"1";"2551"
"Gerardusplein";"Eindhoven";"Buurt";"BU07721222";"1";"3370";"510";"470";"20";"715";"7353";"1439";"20";"1110";"105";"46";"1";"2776"
"Genneperzijde";"Eindhoven";"Buurt";"BU07721223";"1";"1295";"160";"120";"5";"355";"4449";"789";"70";"405";"20";"29";"2";"2107"
"Roosten";"Eindhoven";"Buurt";"BU07721224";"1";"690";"75";"70";"0";"30";"771";"252";"1";"300";"10";"90";"3";"1353"
"Eikenburg";"Eindhoven";"Buurt";"BU07721225";"1";"1490";"205";"165";"0";"220";"1910";"649";"25";"575";"40";"78";"3";"1413"
"Sportpark Aalsterweg";"Eindhoven";"Buurt";"BU07721226";"1";"15";"0";"0";"0";"5";"31";"8";"NaN";"10";"0";"55";"4";"818"
"Puttense Dreef";"Eindhoven";"Buurt";"BU07721230";"1";"1245";"115";"215";"0";"160";"3248";"513";"8";"500";"45";"38";"2";"1537"
"Poeijers";"Eindhoven";"Buurt";"BU07721231";"1";"0";"0";"0";"0";"0";"NaN";"0";"NaN";"5";"0";"93";"2";"1761"
"Burghplan";"Eindhoven";"Buurt";"BU07721232";"1";"3075";"370";"400";"40";"830";"6100";"1489";"37";"1045";"75";"50";"2";"2181"
"Sintenbuurt";"Eindhoven";"Buurt";"BU07721233";"1";"1805";"170";"215";"15";"415";"6865";"885";"22";"620";"65";"26";"1";"3001"
"Tivoli";"Eindhoven";"Buurt";"BU07721234";"1";"1440";"140";"160";"45";"375";"7939";"806";"19";"465";"25";"18";"2";"2221"
"Gijzenrooi";"Eindhoven";"Buurt";"BU07721235";"1";"1865";"245";"185";"5";"160";"3164";"726";"2";"805";"50";"59";"3";"1296"
"Nieuwe Erven";"Eindhoven";"Buurt";"BU07721236";"1";"1130";"210";"165";"25";"475";"7489";"560";"49";"380";"15";"15";"1";"3168"
"Kruidenbuurt";"Eindhoven";"Buurt";"BU07721237";"1";"2570";"330";"420";"35";"610";"8966";"1146";"18";"875";"80";"29";"2";"2459"
"Schuttersbosch";"Eindhoven";"Buurt";"BU07721238";"1";"575";"25";"50";"0";"100";"1501";"292";"0";"240";"15";"38";"2";"1510"
